n,L2_sinCV,L2_conCV_mean,L2_conCV_std,NormErr_sinCV,NormErr_conCV_mean,NormErr_conCV_std
1,9.731201862450689e-05,8.926918962970376e-05,5.522741503227735e-06,9.465217590332031e-05,3.075599670410156e-05,1.825856738451478e-05
2,7.849092071410269e-05,8.652504038764164e-05,7.0805399445816875e-06,3.4928321838378906e-05,1.989603042602539e-05,1.2942494976575776e-05
3,9.281352686230093e-05,9.517128637526184e-05,2.7303965453029377e-06,3.707408905029297e-05,2.3186206817626953e-05,1.1525140303831149e-05
4,8.973343938123435e-05,9.688247519079596e-05,6.8160488808644e-06,1.1086463928222656e-05,3.499984741210938e-05,1.8748911748549483e-05
5,9.384873555973172e-05,9.136181324720383e-05,2.8040940378559753e-06,5.4836273193359375e-06,2.778768539428711e-05,2.3394937727580397e-05
6,8.050398901104927e-05,9.067755308933556e-05,4.535846528597176e-06,1.5854835510253906e-05,1.1372566223144532e-05,1.0604026473641791e-05
