n,activation,hidden,layers,lr,L2,L2_rel,Linf,Integral(ψ²),NormError,Inner,PDE_RMS
3,tanh,64,2,0.001,2.4585142502117422e-05,2.7637177575865413e-05,9.497635298827412e-05,0.9999905228614807,9.47713851928711e-06,0.9999952401636243,2.4585142502117422e-05
3,sin,64,2,0.001,0.00033254507904517325,0.00029656247950339944,0.0007262315342135839,0.9993771314620972,0.000622868537902832,0.9996885150044447,0.00033254507904517325
3,tanh,128,2,0.001,2.374524080921207e-05,2.6080731965220824e-05,0.00010624921196078496,0.9999870657920837,1.2934207916259766e-05,0.9999934947777331,2.374524080921207e-05
3,tanh,64,3,0.001,7.065975540315247e-05,6.817475768389977e-05,0.000217868470015814,1.0001096725463867,0.00010967254638671875,1.0000548618112162,7.065975540315247e-05
3,tanh,64,2,0.0005,6.420184424310758e-05,6.090526728870786e-05,0.00020122889268892052,0.9999443292617798,5.5670738220214844e-05,0.9999721630922591,6.420184424310758e-05
