n,activation,hidden,layers,lr,L2,L2_rel,Integral(ψ²),NormError,PDE_RMS,Inner
3,tanh,64,2,0.001,3.2752404456826735e-05,3.537563269686761e-05,0.9999977350234985,2.2649765014648438e-06,3.2752404456826735e-05,0.9999988633728735
3,sin,64,2,0.001,0.0003799045716360435,0.00034294785310637127,0.9993021488189697,0.0006978511810302734,0.0003799045716360435,0.9996509897549906
3,tanh,128,2,0.001,3.9919954324452215e-05,4.884623555475859e-05,0.9999560713768005,4.392862319946289e-05,3.9919954324452215e-05,0.9999780169481356
3,tanh,64,3,0.001,4.649921703147638e-05,5.243019158077294e-05,1.0000083446502686,8.344650268554688e-06,4.649921703147638e-05,1.000004115703399
3,tanh,64,2,0.0005,6.172005148524236e-05,5.925031694249795e-05,0.9999502897262573,4.971027374267578e-05,6.172005148524236e-05,0.9999751436498853
