n,activation,hidden,layers,lr,L2,L2_rel,Integral(ψ²),NormError,PDE_RMS,Inner
4,tanh,64,2,0.001,3.2072474642104165e-05,3.239517281566856e-05,1.0000028610229492,2.86102294921875e-06,3.2072474642104165e-05,1.000001387027963
4,sin,64,2,0.001,0.0002106606830272236,0.00020307281157833624,0.9996612071990967,0.0003387928009033203,0.0002106606830272236,0.9998305883643428
4,tanh,128,2,0.001,5.768456056354096e-05,5.866029797946147e-05,0.9999164342880249,8.356571197509766e-05,5.768456056354096e-05,0.9999581970207116
4,tanh,64,3,0.001,4.066773111768801e-05,4.014600618122727e-05,1.0000314712524414,3.147125244140625e-05,4.066773111768801e-05,1.0000156970009746
4,tanh,64,2,0.0005,4.299778611585112e-05,4.756513340634303e-05,0.9999563694000244,4.363059997558594e-05,4.299778611585112e-05,0.9999781808068354
