n,activation,hidden,layers,lr,L2,L2_rel,Integral(ψ²),NormError,PDE_RMS,Inner
6,tanh,64,2,0.001,3.633942350911857e-05,3.707046658802449e-05,0.9999710321426392,2.8967857360839844e-05,3.633942350911857e-05,0.9999854965293611
6,sin,64,2,0.001,0.00025272555316997904,0.00027479616038699514,0.999537467956543,0.00046253204345703125,0.00025272555316997904,0.9997686948577496
6,tanh,128,2,0.001,0.0002801696946214286,0.0002814970288640442,0.9995984435081482,0.00040155649185180664,0.0002801696946214286,0.9997991787074167
6,tanh,64,3,0.001,0.0002975243522083272,0.000299588863308737,0.9996923208236694,0.0003076791763305664,0.0002975243522083272,0.9998461142052657
6,tanh,64,2,0.0005,2.8457836543569884e-05,2.884819790648102e-05,1.000009536743164,9.5367431640625e-06,2.8457836543569884e-05,1.0000047797789637
