n,activation,hidden,layers,lr,L2,Integral(ψ²),Inner
1,tanh,64,2,0.001,3.802620992452623e-05,1.0000057220458984,1.0000028376518635
1,sin,64,2,0.001,3.660018145942022e-05,0.9999982118606567,0.9999990907090666
1,tanh,128,2,0.001,3.51638371573063e-05,0.9999871850013733,0.9999935436189866
1,tanh,64,3,0.001,5.0577008484250534e-05,1.0000056028366089,1.000002795588593
1,tanh,64,2,0.0005,6.524580223774348e-05,0.9999905228614807,0.9999952593183501
