n,activation,hidden,layers,lr,L2,Integral(ψ²),NormError,PDE_RMS
60,tanh,128,3,0.0005,0.9995782545000799,2.9502901455202846e-08,0.9999999704970985,0.9995782545000799
60,sin,128,3,0.0005,0.9997498842739065,6.821379940936956e-15,0.9999999999999932,0.9997498842739065
