n,activation,hidden,layers,lr,L2,L2_rel,Integral(ψ²),NormError,PDE_RMS,Inner
5,tanh,64,2,0.001,3.3259064151597454e-05,3.1862523966186364e-05,0.9999934434890747,6.556510925292969e-06,3.3259064151597454e-05,0.9999967143290318
5,sin,64,2,0.001,0.0003190328913560732,0.0003028284140561559,0.9993930459022522,0.0006069540977478027,0.0003190328913560732,0.9996964760464948
5,tanh,128,2,0.001,3.945206218358513e-05,4.07024754563306e-05,0.9999439120292664,5.608797073364258e-05,3.945206218358513e-05,0.9999719820076686
5,tanh,64,3,0.001,0.00028040465163563477,0.0002870332349053669,1.0002058744430542,0.00020587444305419922,0.00028040465163563477,1.0001028710589956
5,tanh,64,2,0.0005,3.3171853931244846e-05,3.4669552890718895e-05,0.9999797344207764,2.0265579223632812e-05,3.3171853931244846e-05,0.9999898782953963
