n,activation,hidden,layers,lr,L2,Integral(ψ²),Inner,NormError,PDE_RMS
1,tanh,64,2,0.001,6.874813891411068e-05,0.9999898672103882,0.9999949669696415,1.0132789611816406e-05,6.874813891411068e-05
1,sin,64,2,0.001,0.00014399619848495763,0.9997537732124329,0.9998768609380392,0.00024622678756713867,0.00014399619848495763
1,tanh,128,2,0.001,3.647753821640748e-05,0.999980628490448,0.999990277437915,1.9371509552001953e-05,3.647753821640748e-05
1,tanh,64,3,0.001,4.2652247109429894e-05,0.9999817609786987,0.9999908712961214,1.823902130126953e-05,4.2652247109429894e-05
1,tanh,64,2,0.0005,9.362213685737873e-05,0.9999738335609436,0.9999868912221337,2.6166439056396484e-05,9.362213685737873e-05
