n,E_analitica,E_df,"L2(PINN,Exacta)","L2(DF,Exacta)","L2(PINN,DF)",Norm(PINN),Norm(DF)
1,9.869604401089358,9.869591685158948,0.00010041311938839941,5.799180249170713e-07,0.00010041106954682855,0.9999083876609802,1.0
2,39.47841760435743,39.47821416017628,8.441168459984665e-05,2.3079651536373625e-06,8.44882778719652e-05,1.000004768371582,1.0
3,88.82643960980423,88.82540967913938,9.618394715945938e-05,4.867468866005013e-06,9.636993022034765e-05,1.0000653266906738,1.0
4,157.91367041742973,157.91041534120205,0.00010412764364705859,9.222448523393077e-06,0.00010470388102468229,0.9999711513519287,1.0
5,246.74011002723395,246.73216310165216,9.156836127400592e-05,1.4403318551524913e-05,9.2713570736993e-05,1.0000221729278564,1.0000001192092896
6,355.3057584392169,355.28927978848697,8.856152463266326e-05,2.0424354282196183e-05,9.106218585334697e-05,1.0000324249267578,0.9999999403953552
