n,activation,hidden,layers,lr,L2_error,Integral(ψ²),Inner Product
1,tanh,64,2,0.001,3.814326609621606e-05,0.9999969005584717,0.9999984377409403
1,sin,64,2,0.001,3.674214758131438e-05,1.0000001192092896,1.0000000472379593
1,tanh,128,2,0.001,3.5077389378024205e-05,0.9999913573265076,0.9999957015837665
1,tanh,64,3,0.001,5.163762112046434e-05,1.0000150203704834,1.000007481092999
1,tanh,64,2,0.0005,6.540240637886838e-05,0.9999852180480957,0.9999925973756234
